"Cat","chambre","description","Live Project","Laurent Noel","Jenathan"
"Chantier",Installation de chantier,"",6637.75,2500,2550,
"Demolition","Démolition de maçonneries porteuses brique (selon ING)","",2098.75,1500
"TRANSFORMATIONS-R+0","cuisine_sam","Agrandissement de baie pour ME 0.10",6693,8873
"TRANSFORMATIONS-R+0","cuisine_sam","Agrandissement de baie pour ME 0.9",5175,6312
"TRANSFORMATIONS-R+0","cuisine_sam","Elargissement baie existante entre les deux pièces (côté jardin)",2875,3337
"TRANSFORMATIONS-R+0","cuisine_sam","Création baie entre les deux pièces (côté rue)",2098.75, 2850
"TRANSFORMATIONS-R+0","HALL ENTREE - BUREAU",Création de baie pour ME 0.8",2098.75,6349
"TRANSFORMATIONS-R+0","HALL ENTREE - BUREAU",Création baie entre les deux pièces",2098.75,2650
"TRANSFORMATIONS-R+0","HALL ENTREE - BUREAU",Rehausse baie porte entrée",2098.75 ,750
"TRANSFORMATIONS-R+1","CHAMBRE 03",Création de baie pour ME 1.7",2587.5, 2804
"TRANSFORMATIONS-R+1","CHAMBRE 03",vers HALL NUIT - Création baie entre les deux pièces",2098.75, 2750
"TRANSFORMATIONS-R+1","HALL NUIT",Création baie entre les deux parties du HALL NUIT",2098.75, 2750
"TRANSFORMATIONS-R+1","HALL NUIT",Création baie HALL NUIT vers SALLE DE BAINS",2875.00, 750
"TRANSFORMATIONS-R+1","HALL NUIT",Elargissement baie existante entre HALL NUIT et DRESSING",1063.75, 900
"TRANSFORMATIONS-R+1","CHAMBRE 02",Elargissement baie existante pour ME 1.8",2875,3930
"TRANSFORMATIONS-R+1","SALLE DE DOUCHES",Création de baie pour ME 1.9",2098.75,2848
"TRANSFORMATIONS-R+1","CHAMBRE 01",Création de baie pour ME 1.10",3277.5,4087
